2017-06-02 09:11:49,522 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-06-02 09:11:49,638 | INFO | DefaultCamelContext.java 3298 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-06-02 09:11:49,642 | INFO | AggregateProcessor.java 1318 | Defaulting to MemoryAggregationRepository
2017-06-02 09:11:49,645 | INFO | DefaultCamelContext.java 3844 | Route: route1 started and consuming from: direct://input
2017-06-02 09:11:49,645 | INFO | DefaultCamelContext.java 3053 | Total 1 routes, of which 1 are started.
2017-06-02 09:11:49,648 | INFO | DefaultCamelContext.java 3054 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) started in 0.178 seconds
2017-06-02 09:11:49,662 | INFO | CamelLogger.java 159 | Body :  1  correlation id :  
2017-06-02 09:11:49,665 | INFO | CamelLogger.java 159 | Body :  2  correlation id :  
2017-06-02 09:11:49,666 | INFO | CamelLogger.java 159 | Body :  3  correlation id :  
2017-06-02 09:11:49,668 | INFO | CamelLogger.java 159 | Sending out 123
2017-06-02 09:11:49,670 | INFO | MockEndpoint.java 385 | Asserting: mock://output is satisfied
2017-06-02 09:11:49,671 | INFO | CamelTestSupport.java 388 | ********************************************************************************
2017-06-02 09:11:49,671 | INFO | CamelTestSupport.java 389 | Testing done: testAggregate(AggregatorEIPRouteTest)
2017-06-02 09:11:49,672 | INFO | CamelTestSupport.java 390 | Took: 0.023 seconds (23 millis)
2017-06-02 09:11:49,672 | INFO | CamelTestSupport.java 419 | ********************************************************************************
2017-06-02 09:11:49,678 | INFO | DefaultCamelContext.java 3324 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutting down
2017-06-02 09:11:49,679 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-06-02 09:11:49,685 | INFO | DefaultShutdownStrategy.java 668 | Route: route1 shutdown complete, was consuming from: direct://input
2017-06-02 09:11:49,691 | INFO | DefaultShutdownStrategy.java 259 | Graceful shutdown of 1 routes completed in 0 seconds
2017-06-02 09:11:49,712 | INFO | DefaultCamelContext.java 3413 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) uptime 0.244 seconds
2017-06-02 09:11:49,712 | INFO | DefaultCamelContext.java 3414 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutdown in 0.033 seconds
2017-07-20 08:25:24,360 | INFO | CamelTestSupport.java 242 | ********************************************************************************
2017-07-20 08:25:24,365 | INFO | CamelTestSupport.java 243 | Testing: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-20 08:25:24,365 | INFO | CamelTestSupport.java 244 | ********************************************************************************
2017-07-20 08:25:25,240 | INFO | DefaultCamelContext.java 3031 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is starting
2017-07-20 08:25:25,243 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2017-07-20 08:25:25,371 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 1)
2017-07-20 08:25:25,612 | INFO | DefaultCamelContext.java 3333 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-07-20 08:25:25,620 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-07-20 08:25:25,620 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-07-20 08:25:25,653 | INFO | DefaultCamelContext.java 3883 | Route: route1 started and consuming from: file://input?noop=true
2017-07-20 08:25:25,654 | INFO | DefaultCamelContext.java 3073 | Total 1 routes, of which 1 are started.
2017-07-20 08:25:25,658 | INFO | DefaultCamelContext.java 3074 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) started in 0.415 seconds
2017-07-20 08:25:25,659 | INFO | CamelTestSupport.java 388 | ********************************************************************************
2017-07-20 08:25:25,660 | INFO | CamelTestSupport.java 389 | Testing done: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-20 08:25:25,660 | INFO | CamelTestSupport.java 390 | Took: 0.000 seconds (0 millis)
2017-07-20 08:25:25,660 | INFO | CamelTestSupport.java 419 | ********************************************************************************
2017-07-20 08:25:25,664 | INFO | DefaultCamelContext.java 3364 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutting down
2017-07-20 08:25:25,666 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-07-20 08:25:25,678 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://input?noop=true
2017-07-20 08:25:25,679 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-07-20 08:25:25,720 | INFO | DefaultCamelContext.java 3452 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) uptime 0.481 seconds
2017-07-20 08:25:25,721 | INFO | DefaultCamelContext.java 3453 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutdown in 0.057 seconds
2017-07-20 08:26:01,515 | INFO | CamelTestSupport.java 242 | ********************************************************************************
2017-07-20 08:26:01,523 | INFO | CamelTestSupport.java 243 | Testing: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-20 08:26:01,524 | INFO | CamelTestSupport.java 244 | ********************************************************************************
2017-07-20 08:26:02,450 | INFO | DefaultCamelContext.java 3031 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is starting
2017-07-20 08:26:02,452 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2017-07-20 08:26:02,569 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 1)
2017-07-20 08:26:02,824 | INFO | DefaultCamelContext.java 3333 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-07-20 08:26:02,835 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-07-20 08:26:02,836 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-07-20 08:26:02,877 | INFO | DefaultCamelContext.java 3883 | Route: route1 started and consuming from: file://input?noop=true
2017-07-20 08:26:02,879 | INFO | DefaultCamelContext.java 3073 | Total 1 routes, of which 1 are started.
2017-07-20 08:26:02,887 | INFO | DefaultCamelContext.java 3074 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) started in 0.430 seconds
2017-07-20 08:26:07,889 | INFO | CamelTestSupport.java 388 | ********************************************************************************
2017-07-20 08:26:07,889 | INFO | CamelTestSupport.java 389 | Testing done: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-20 08:26:07,890 | INFO | CamelTestSupport.java 390 | Took: 5.001 seconds (5001 millis)
2017-07-20 08:26:07,890 | INFO | CamelTestSupport.java 419 | ********************************************************************************
2017-07-20 08:26:07,893 | INFO | DefaultCamelContext.java 3364 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutting down
2017-07-20 08:26:07,894 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-07-20 08:26:07,897 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://input?noop=true
2017-07-20 08:26:07,897 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-07-20 08:26:07,913 | INFO | DefaultCamelContext.java 3452 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) uptime 5.464 seconds
2017-07-20 08:26:07,914 | INFO | DefaultCamelContext.java 3453 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutdown in 0.021 seconds
2017-07-20 08:38:59,230 | INFO | CamelTestSupport.java 242 | ********************************************************************************
2017-07-20 08:38:59,236 | INFO | CamelTestSupport.java 243 | Testing: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-20 08:38:59,237 | INFO | CamelTestSupport.java 244 | ********************************************************************************
2017-07-20 08:39:01,590 | INFO | DefaultCamelContext.java 3031 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is starting
2017-07-20 08:39:01,593 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2017-07-20 08:39:01,699 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 1)
2017-07-20 08:39:01,949 | INFO | DefaultCamelContext.java 3333 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-07-20 08:39:01,961 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-07-20 08:39:01,962 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-07-20 08:39:01,996 | INFO | DefaultCamelContext.java 3883 | Route: route1 started and consuming from: file://input?noop=true
2017-07-20 08:39:01,996 | INFO | DefaultCamelContext.java 3073 | Total 1 routes, of which 1 are started.
2017-07-20 08:39:02,005 | INFO | DefaultCamelContext.java 3074 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) started in 0.408 seconds
2017-07-20 08:39:03,022 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500557940673-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/Employee.json, CamelFileLastModified=1500526628000, CamelFileLength=68, CamelFileName=Employee.json, CamelFileNameConsumed=Employee.json, CamelFileNameOnly=Employee.json, CamelFileParent=input, CamelFilePath=input/Employee.json, CamelFileRelativePath=Employee.json}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[Employee.json]]]
